,Kanji,Meaning,Radicals,Sound
0,猟犬,hound,Hunting + Dog,りょうけん
1,子犬,puppy,Child + Dog,こいぬ
2,負け犬,loser,Lose + Dog,まいぬ
3,柴犬,shiba inu (dog breed),Brushwood + Dog,しばいぬ
0,子供,child,Child + Servant,こども
1,帽子,hat,Hat + Child,ぼうし
2,椅子,chair,Chair + Child,いす
3,息子,son,Breath + Child,むすこ
4,電子,electron,Electricity + Child,でんし
6,男の子,boy,Man + Child,おとここ
7,お菓子,confections,Cake + Child,かし
8,障子,shoji (paper sliding door),Hinder + Child,しょうじ
9,孤児,orphan,Orphan + Child,こじ
10,原子,atom,Original + Child,げんし
12,調子,tune,Investigate + Child,ちょうし
13,王子,prince,King + Child,おうじ
15,迷子,lost child,Astray + Child,まいご
16,子孫,descendant,Child + Grandchild,しそん
17,小指,little finger,Small + Finger,こゆび
18,扇子,folding fan,Folding Fan + Child,せんす
20,皇太子,crown prince,Emperor + Fat + Child,こうたいし
21,遺伝子,gene,Leave Behind + Transmit + Child,いでんし
22,車椅子,wheelchair,Car + Chair + Child,くるまいす
23,子守唄,lullaby,Child + Protect + Shamisen Song,こもりうた
24,子牛,calf,Child + Cow,こうし
25,養子,adopted child (usu. male),Foster + Child,ようし
26,妻子,wife and children,Wife + Child,さいし
27,粒子,particle,Grains + Child,りゅうし
28,辛子,mustard,Spicy + Child,からし
30,子猫,kitten,Child + Cat,こねこ
31,原子爆弾,atomic bomb,Original + Child + Explode + Bullet,げんしばくだん
33,判子,seal (used in lieu of a signature),Judge + Child,
0,手紙,letter,Hand + Paper,てがみ
1,切手,stamp (postage),Cut + Hand,きって
2,手袋,glove,Hand + Sack,てぶくろ
3,握手,handshake,Grip + Hand,あくしゅ
4,拍手,clapping hands,Beat + Hand,はくしゅ
5,助手,assistant,Help + Hand,じょしゅ
8,お手洗い,toilet,Hand + Wash,てあら
9,手首,wrist,Hand + Neck,てくび
10,手洗い,washing one's hands,Hand + Wash,てあら
11,手錠,handcuffs,Hand + Lock,てじょう
12,手伝う,to help,Hand + Transmit,てつだ
13,相手,companion,Mutual + Hand,あいて
14,歌手,singer,Song + Hand,かしゅ
15,選手,player (of a sport),Choose + Hand,せんしゅ
16,苦手,poor (at),Suffering + Hand,にがて
18,手続き,procedure,Hand + Continue,てつづ
19,手ごろ,handy,Hand,て
20,派手,showy,Sect + Hand,はで
21,手帳,notebook,Hand + Notebook,てちょう
22,運転手,driver,Carry + Revolve + Hand,うんてんしゅ
23,手がかり,clue,Hand,て
24,投手,pitcher,Throw + Hand,とうしゅ
25,騎手,horseman,Horse + Hand,きしゅ
26,勝手,one's own convenience,Win + Hand,かって
27,両手,both hands,Both + Hand,りょうて
28,左手,left hand,Left + Hand,ひだりて
29,右手,right hand,Right + Hand,みぎて
30,手渡す,to hand (over),Hand + Transit,てわた
31,片手,one hand,One Sided + Hand,かたて
32,手作り,handmade,Hand + Make,てづく
33,手のひら,palm (of the hand),Hand,て
34,売り手,seller,Sell + Hand,うて
35,手荷物,hand luggage,Hand + Luggage + Thing,てにもつ
0,左右,left and right,Left + Right,さゆう
1,左利き,left-handedness,Left + Profit,ひだりき
3,左側,left side,Left + Side,ひだりがわ
4,左腕,left arm,Left + Arm,さわん
5,左翼,left wing (politics),Left + Wing,さよく
6,左遷,demotion,Left + Transition,させん
0,正直,honest,Correct + Fix,しょうじき
1,正しい,right,Correct,ただ
2,正義,justice,Correct + Righteousness,せいぎ
3,正確,accurate,Correct + Certain,せいかく
4,不正,injustice,Not + Correct,ふせい
5,醤油,soy sauce,Soy Sauce + Oil,しょうゆ
6,改正,revision,Renew + Correct,かいせい
7,訂正,correction,Revise + Correct,ていせい
8,正解,correct answer,Correct + Untie,せいかい
9,矯正,"correction (of a fault, defect, flaw, etc.)",Correct + Correct,きょうせい
10,正座,seiza,Correct + Sit,せいざ
0,天気予報,weather forecast,Heaven + Energy + Beforehand + News,てんきよほう
1,天皇,Emperor of Japan,Heaven + Emperor,てんのう
2,天気,weather,Heaven + Energy,てんき
4,天国,paradise,Heaven + Country,てんごく
5,天候,weather,Heaven + Climate,てんこう
6,天井,ceiling,Heaven + Well,てんじょう
7,天使,angel,Heaven + Use,てんし
0,王様,king,King + Formal Name Title,おうさま
3,国王,king,Country + King,こくおう
4,王妃,queen (consort),King + Princess,おうひ
5,海王星,Neptune (planet),Sea + King + Star,かいおうせい
6,王冠,crown,King + Crown,おうかん
1,小説,novel,Small + Theory,しょうせつ
2,小学校,primary school,Small + Study + School,しょうがっこう
4,小さい,small,Small,ちい
5,小包,parcel,Small + Wrap,こづつみ
6,小遣い,pocket money,Small + Dispatch,こづか
7,縮小,reduction,Shrink + Small,しゅくしょう
8,小学生,elementary school student,Small + Study + Life,しょうがくせい
9,小柄,small build,Small + Pattern,こがら
11,小麦粉,wheat flour,Small + Wheat + Powder,こむぎこ
13,小声,low voice,Small + Voice,こごえ
2,右側,right side,Right + Side,みぎがわ
3,右腕,right arm,Right + Arm,みぎうで
4,右翼,right wing (politics),Right + Wing,うよく
5,右利き,right-handedness,Right + Profit,みぎき
0,本棚,bookshelves,Book + Shelf,ほんだな
1,資本,funds,Resources + Book,しほん
2,本当,truth,Book + Correct,ほんとう
3,本能,instinct,Book + Ability,ほんのう
4,根源,root,Root + Origin,こんげん
5,本質,essence,Book + Quality,ほんしつ
6,脚本,script,Leg + Book,きゃくほん
7,本物,genuine article,Book + Thing,ほんもの
8,基本,basics,Foundation + Book,きほん
9,本来,originally,Book + Come,ほんらい
10,本気,seriousness,Book + Energy,ほんき
11,本館,"main building (as opposed to an annex, outbuilding, etc.)",Book + Public Building,ほんかん
14,基本的,fundamental,Foundation + Book + Target,きほんてき
15,本屋,bookstore,Book + Roof,ほんや
16,本社,head office,Book + Company,ほんしゃ
17,本当に,really,Book + Correct,ほんとう
18,本州,Honshū (largest of the four main islands of Japan),Book + State,ほんしゅう
1,丸ごと,in its entirety,Circle,まる
2,弾丸,bullet,Bullet + Circle,だんがん
1,水道,water supply,Water + Road,すいどう
2,香水,perfume,Fragrance + Water,こうすい
3,淡水,fresh water (i.e. not salt water),Faint + Water,たんすい
4,噴水,water fountain,Erupt + Water,ふんすい
5,洪水,flood,Flood + Water,こうずい
6,潜水,diving,Conceal + Water,せんすい
7,水滴,drop of water,Water + Drip,すいてき
8,排水,drainage,Reject + Water,はいすい
9,水着,bathing suit,Water + Wear,みずぎ
10,防水,waterproofing,Prevent + Water,ぼうすい
11,潜水艦,submarine,Conceal + Water + Warship,せんすいかん
12,西瓜,watermelon (Citrullus lanatus),West + Melon,すいか
13,水色,light blue,Water + Color,みずいろ
15,水害,water damage,Water + Damage,すいがい
16,浸水,inundation,Immersed + Water,しんすい
17,水深,depth of water,Water + Deep,すいしん
18,汚水,filthy water,Dirty + Water,おすい
19,水彩画,watercolor painting,Water + Coloring + Drawing,すいさいが
20,瑞々しい,fresh and youthful,Congratulations + Repeater,みずみず
0,万年筆,fountain pen,Ten Thousand + Year + Writing Brush,まんねんひつ
2,１００万,"1,000,000",Ten Thousand,ひゃくまん
5,１万,"10,000",Ten Thousand,いちまん
0,費用,cost,Expense + Task,ひよう
1,活用,practical use,Lively + Task,かつよう
2,必要,necessary,Certain + Need,ひつよう
3,用意,preparation,Task + Idea,ようい
4,用事,business,Task + Action,ようじ
5,信用,confidence,Believe + Task,しんよう
6,使用,use,Use + Task,しよう
7,用いる,to use,Task,もち
8,器用,skillful,Container + Task,きよう
9,採用,use,Gather + Task,さいよう
10,作用,action,Make + Task,さよう
11,雇用,employment,Employ + Task,こよう
12,代用,substitution,Substitute + Task,だいよう
13,公用,official business,Public + Task,こうよう
14,兼用,multi-use,Concurrently + Task,けんよう
0,久しぶり,a long time (since the last time),Long Time,ひさ
1,永久,eternity,Eternity + Long Time,えいきゅう
2,久しい,long (time that has passed),Long Time,ひさ
3,耐久性,durability,Resistant + Long Time + Gender,たいきゅうせい
4,恒久,permanence,Constant + Long Time,こうきゅう
5,悠久,eternal,Leisure + Long Time,ゆうきゅう
0,元気,lively,Origin + Energy,げんき
2,還元,restoration,Send Back + Origin,かんげん
3,紀元前,pre-era,Account + Origin + Before,きげんぜん
4,襟元,(around the) neck,Collar + Origin,えりもと
5,元帥,(field) marshal,Origin + Commander,げんすい
6,元凶,ringleader,Origin + Villain,げんきょう
0,兄弟,siblings,Older Brother + Younger Brother,きょうだい
1,お兄さん,older brother,Older Brother,にい
2,従兄弟,cousin (male),Obey + Older Brother + Younger Brother,いとこ
3,兄貴,elder brother,Older Brother + Valuable,あにき
0,午後,afternoon,Noon + Behind,ごご
1,午前,morning,Noon + Before,ごぜん
0,太陽,Sun,Fat + Sunshine,たいよう
1,太い,fat,Fat,ふと
2,太鼓,drum,Fat + Beat,たいこ
3,太る,to put on weight,Fat,ふと
6,太陽系,solar system,Fat + Sunshine + Lineage,たいようけい
7,太字,boldface,Fat + Letter,ふとじ
8,皇太子妃,crown princess,Emperor + Fat + Child + Princess,こうたいしひ
0,毛布,blanket,Fur + Cloth,もうふ
1,髪の毛,hair (on the head),Hair + Fur,かみけ
2,羊毛,wool,Sheep + Fur,ようもう
3,毛糸,knitting wool,Fur + Thread,けいと
4,毛虫,hairy caterpillar,Fur + Insect,けむし
5,純毛,all-wool,Pure + Fur,じゅんもう
0,方向,direction,Direction + Yonder,ほうこう
1,方言,dialect,Direction + Say,ほうげん
2,仕方,way,Doing + Direction,しかた
3,両方,both,Both + Direction,りょうほう
4,方法,method,Direction + Method,ほうほう
5,味方,friend,Flavor + Direction,
6,法則,law,Method + Rule,ほうそく
7,見方,viewpoint,See + Direction,みかた
8,考え方,way of thinking,Think + Direction,かんがかた
9,使い方,way of using (something),Use + Direction,つかかた
10,言い方,way of saying (something),Say + Direction,いかた
11,書き方,way of writing,Write + Direction,かかた
12,読み方,pronunciation,Read + Direction,よかた
13,東方,eastern direction,East + Direction,とうほう
14,話し方,way of talking,Talk + Direction,はなかた
15,方向音痴,(person with) no sense of direction,Direction + Yonder + Sound + Stupid,ほうこうおんち
16,作り方,style of building,Make + Direction,つくかた
1,郊外,suburb,Suburbs + Outside,こうがい
2,海外,foreign,Sea + Outside,かいがい
3,外交,diplomacy,Outside + Mix,がいこう
4,外国,foreign country,Outside + Country,がいこく
5,以外,excluding,By Means Of + Outside,いがい
6,意外,unexpected,Idea + Outside,いがい
7,外れる,to be disconnected,Outside,はず
8,例外,exception,Example + Outside,れいがい
9,案外,unexpectedly,Plan + Outside,あんがい
10,余所,another place,Surplus + Place,よそ
11,除外,exception,Exclude + Outside,じょがい
12,外観,outward appearance,Outside + View,がいかん
13,外来,foreign,Outside + Come,がいらい
15,紫外線,ultraviolet rays,Purple + Outside + Line,しがいせん
16,外交官,diplomat,Outside + Mix + Government,がいこうかん
17,疎外,alienation,Neglect + Outside,そがい
18,外側,exterior,Outside + Side,そとがわ
19,外れ,end,Outside,はず
20,対外,external,Versus + Outside,たいがい
21,気違い,madness,Energy + Different,きちが
22,外面,outer surface,Outside + Face,がいめん
0,公園,(public) park,Public + Garden,こうえん
1,公害,pollution,Public + Damage,こうがい
2,公共,"public (facilities, service, etc.)",Public + Together,こうきょう
3,公開,opening to the public,Public + Open,こうかい
5,奉公,live-in domestic service,Dedicate + Public,ほうこう
0,引く,to pull,Pull,ひ
1,引き分け,draw (in competition),Pull + Part,ひわ
2,索引,index (in a book),Search + Pull,さくいん
3,引っ越す,to move (house),Pull + Go Beyond,ひこ
4,引退,retirement,Pull + Retreat,いんたい
5,割引,discount,Divide + Pull,わりびき
6,引き算,subtraction,Pull + Calculate,ひざん
7,綱引き,tug of war,Cable + Pull,つなひ
8,引き裂く,to tear up,Pull + Split,ひさ
0,先生,teacher,Previous + Life,せんせい
2,生活,life,Life + Lively,せいかつ
3,生きる,to live,Life,い
5,生物,living thing,Life + Thing,せいぶつ
6,誕生,birth,Birth + Life,たんじょう
7,学生,student (esp. a university student),Study + Life,がくせい
8,生徒,pupil,Life + Junior,せいと
9,留学生,overseas student,Detain + Study + Life,りゅうがくせい
10,生まれる,to be born,Life,う
12,高校生,senior high school student,Tall + School + Life,こうこうせい
13,衛生,hygiene,Defense + Life,えいせい
15,畜生,damn it,Livestock + Life,ちくしょう
17,芝生,lawn,Lawn + Life,しばふ
18,生地,cloth,Life + Earth,きじ
19,生まれ,birth,Life,う
20,生存,existence,Life + Suppose,せいぞん
22,生える,to grow,Life,は
23,生む,to give birth,Life,う
24,生物学,biology,Life + Thing + Study,せいぶつがく
25,生涯,life,Life + Horizon,しょうがい
27,１年生,first-year student,Year + Life,いちねんせい
28,生還,returning alive,Life + Send Back,せいかん
29,生き甲斐,reason for living,Life + Turtle Shell + Patterned,いがい
30,寮生,boarder,Dormitory + Life,りょうせい
32,研修生,trainee,Sharpen + Discipline + Life,けんしゅうせい
0,井戸,water well,Well + Door,いど
1,戸籍,family register,Door + Enroll,こせき
2,戸棚,cupboard,Door + Shelf,とだな
3,江戸,Edo (shogunate capital,Inlet + Door,えど
4,瀬戸,strait,Rapids + Door,せと
6,網戸,window screen,Netting + Door,あみど
0,切符,ticket,Cut + Token,きっぷ
3,切る,to cut,Cut,き
4,親切,kind,Parent + Cut,しんせつ
5,裏切る,to betray,Backside + Cut,うらぎ
6,切れる,to break,Cut,き
7,締め切り,deadline,Tighten + Cut,しき
8,折角,with trouble,Fold + Angle,せっかく
9,売り切れ,sold-out,Sell + Cut,うき
10,裏切り者,betrayer,Backside + Cut + Someone,うらぎもの
11,貸し切り,reserving (for exclusive use),Lend + Cut,かき
13,切り取る,to cut off,Cut + Take,きと
14,切迫,pressure,Cut + Urge,せっぱく
15,布地,fabric,Cloth + Earth,ぬのじ
0,少年,boy,Few + Year,しょうねん
