Kanji,Meaning,Radicals,Sound
左側,left side,Left + Side,ひだりがわ
左腕,left arm,Left + Arm,さわん
左翼,left wing,Left + Wing,さよく
左遷,demotion,Left + Transition,させん
正直,honest,Correct + Fix,しょうじき
正しい,right,Correct,ただ
正義,justice,Correct + Righteousness,せいぎ
正確,accurate,Correct + Certain,せいかく
不正,injustice,Not + Correct,ふせい
醤油,soy sauce,Soy Sauce + Oil,しょうゆ
改正,revision,Renew + Correct,かいせい
訂正,correction,Revise + Correct,ていせい
正解,correct answer,Correct + Untie,せいかい
正座,seiza,Correct + Sit,せいざ
天気予報,weather forecast,Heaven + Energy + Beforehand + News,てんきよほう
天皇,Emperor of Japan,Heaven + Emperor,てんのう
天気,weather,Heaven + Energy,てんき
天国,paradise,Heaven + Country,てんごく
天候,weather,Heaven + Climate,てんこう
天井,ceiling,Heaven + Well,てんじょう
天使,angel,Heaven + Use,てんし
王様,king,King + Formal Name Title,おうさま
国王,king,Country + King,こくおう
王妃,queen (consort),King + Princess,おうひ
海王星,Neptune (planet),Sea + King + Star,かいおうせい
王冠,crown,King + Crown,おうかん
小説,novel,Small + Theory,しょうせつ
小学校,primary school,Small + Study + School,しょうがっこう
小さい,small,Small,ちい
小包,parcel,Small + Wrap,こづつみ
小遣い,pocket money,Small + Dispatch,こづか
縮小,reduction,Shrink + Small,しゅくしょう
小学生,elementary school student,Small + Study + Life,しょうがくせい
小柄,small build,Small + Pattern,こがら
小麦粉,wheat flour,Small + Wheat + Powder,こむぎこ
小声,low voice,Small + Voice,こごえ
右側,right side,Right + Side,みぎがわ
右腕,right arm,Right + Arm,みぎうで
右翼,right wing,Right + Wing,うよく
右利き,right-handedness,Right + Profit,みぎき
本棚,bookshelves,Book + Shelf,ほんだな
資本,funds,Resources + Book,しほん
本当,truth,Book + Correct,ほんとう
本能,instinct,Book + Ability,ほんのう
根源,root,Root + Origin,こんげん
本質,essence,Book + Quality,ほんしつ
脚本,script,Leg + Book,きゃくほん
本物,genuine article,Book + Thing,ほんもの
基本,basics,Foundation + Book,きほん
