Kanji,Meaning,Radicals,Sound
競争,competition,Compete + Conflict,きょうそう
競う,to compete,Compete,きそ
競艇,kyōtei,Compete + Rowboat,きょうてい
一位,first place,One + Rank,いちい
第一位,first place,Ordinal Number Prefix + One + Rank,だいいちい
順位,order,Order + Rank,じゅんい
労働,labor,Labor + Work,ろうどう
疲労,fatigue,Exhausted + Labor,ひろう
特別,special,Special + Separate,とくべつ
特に,particularly,Special,とく
独特,peculiarity,Alone + Special,どくとく
特徴,feature,Special + Indication,とくちょう
特殊,special,Special + Especially,とくしゅ
特質,characteristic,Special + Quality,とくしつ
特技,special skill,Special + Skill,とくぎ
特選,special selection,Special + Choose,とくせん
荒波,raging waves,Wild + Wave,あらなみ
波紋,ripple,Wave + Family Crest,はもん
意味,meaning,Idea + Flavor,いみ
注意,attention,Pour + Idea,ちゅうい
意志,will,Idea + Intention,いし
意識,consciousness,Idea + Discerning,いしき
得意,satisfaction,Acquire + Idea,とくい
威張る,to put on airs,Majesty + Stretch,いば
意欲,will,Idea + Want,いよく
故意,intent,Circumstance + Idea,こい
無意識,unconsciousness,Nothing + Idea + Discerning,むいしき
誠意,sincerity,Sincerity + Idea,せいい
共犯者,accomplice,Together + Crime + Someone,きょうはんしゃ
共産党,Communist Party,Together + Give Birth + Group,きょうさんとう
戦争,war,War + Conflict,せんそう
戦闘,battle,War + Struggle,せんとう
戦う,to make war (on),War,たたか
戦い,battle,War,たたか
挑戦,challenge,Challenge + War,ちょうせん
戦禍,war damage,War + Evil,せんか
挑戦者,challenger,Challenge + War + Someone,ちょうせんしゃ
戦没,death in battle,War + Die,せんぼつ
抗戦,resistance,Confront + War,こうせん
育てる,to raise,Nurture,そだ
育つ,to be raised (e.g. child),Nurture,そだ
保育,nurturing,Preserve + Nurture,ほいく
伝統,tradition,Transmit + Unite,でんとう
宣伝,publicity,Proclaim + Transmit,せんでん
伝説,legend,Transmit + Theory,でんせつ
伝える,to convey,Transmit,つた
遺伝,heredity,Leave Behind + Transmit,いでん
伝統的,traditional,Transmit + Unite + Target,でんとうてき
精神,mind,Spirit + God,せいしん
神様,God,God + Formal Name Title,かみさま
神聖,holiness,God + Holy,しんせい
阪神,Osaka-Kobe,Heights + God,はんしん
精神的,mental,Spirit + God + Target,せいしんてき
働く,to work,Work,はたら
初級,elementary level,First + Rank,しょきゅう
中級,intermediate level,Middle + Rank,ちゅうきゅう
仲良し,close friendship,Relationship + Good,なかよ
仲良く,on good terms (with),Relationship + Good,なかよ
老衰,senility,Elderly + Decline,ろうすい
老齢,old age,Elderly + Age,ろうれい
老朽,infirmity (due to old age),Elderly + Rot,ろうきゅう
老眼,presbyopia,Elderly + Eyeball,ろうがん
老婆,old woman,Elderly + Old Woman,ろうば
老舗,long-established shop,Elderly + Shop,しにせ
趣味,hobby,Gist + Flavor,しゅみ
興味,interest (in something),Interest + Flavor,きょうみ
吟味,close examination,Recital + Flavor,ぎんみ
味噌汁,miso soup,Flavor + Boisterous + Soup,みそしる
珍味,delicacy,Rare + Flavor,ちんみ
嫌味,disagreeableness,Dislike + Flavor,いやみ
脳みそ,brains,Brain,のう
命令,order,Fate + Orders,めいれい
革命,revolution,Leather + Fate,かくめい
寿命,lifespan,Lifespan + Fate,じゅみょう
懸命,eager,Suspend + Fate,けんめい
致命的,fatal,Do + Fate + Target,ちめいてき
郵便,mail service,Mail + Convenience,ゆうびん
便利,convenient,Convenience + Profit,べんり
頼る,to rely on,Trust,たよ
便秘,constipation,Convenience + Secret,べんぴ
郵便箱,mailbox (for delivered mail),Mail + Convenience + Box,ゆうびんばこ
初版,first edition,First + Edition,しょはん
拾う,to pick up,Pick Up,ひろ
沿岸,coast,Run Alongside + Coast,えんがん
成功,success,Become + Achievement,せいこう
功績,achievement,Achievement + Exploits,こうせき
即効,immediate effect,Instant + Effective,そっこう
良い,good,Good,よ
良質,good quality,Good + Quality,りょうしつ
良好,good,Good + Like,りょうこう
いい加減,irresponsible,Add + Decrease,かげん
好き,liking,Like,す
好む,to like,Like,この
格好,shape,Status + Like,かっこう
指輪,(finger) ring,Finger + Wheel,ゆびわ
指導,guidance,Finger + Lead,しどう
指す,to point,Finger,さ
指摘,pointing out,Finger + Pluck,してき
指示,indication,Finger + Indicate,しじ
指揮,command,Finger + Brandish,しき
指差す,to point at,Finger + Distinction,ゆびさ
指紋,fingerprint,Finger + Family Crest,しもん
指圧,shiatsu,Finger + Pressure,しあつ
放射,radiation,Release + Shoot,ほうしゃ
放す,to release,Release,はな
放棄,abandonment,Release + Abandon,ほうき
放射能,radioactivity,Release + Shoot + Ability,ほうしゃのう
放題,(doing) as one pleases,Release + Topic,ほうだい
放浪,wandering,Release + Wander,ほうろう
奔放,wild,Run + Release,ほんぽう
放れる,to get free (from),Release,はな
食べ放題,all-you-can-eat,Eat + Release + Topic,たほうだい
権利,right,Rights + Profit,けんり
利益,profit,Profit + Benefit,りえき
効く,to be effective,Effective,き
利潤,profit,Profit + Watered,りじゅん
成る,to become,Become,な
成る程,I see,Become + Extent,なほど
賛成,approval,Agree + Become,さんせい
成績,results,Become + Exploits,せいせき
完成,completion,Perfect + Become,かんせい
構成,composition,Set Up + Become,こうせい
可也,considerably,Possible + Considerably,かなり
成熟,maturity,Become + Ripen,せいじゅく
秒針,second hand (of clock),Second + Needle,びょうしん
追う,to chase,Follow,お
追い越す,to pass (e.g. car),Follow + Go Beyond,おこ
追悼,mourning,Follow + Grieve,ついとう
注射,injection,Pour + Shoot,ちゅうしゃ
忠告,advice,Loyalty + Announce,ちゅうこく
注ぐ,to pour (into a vessel),Pour,つ
注釈,notes,Pour + Explanation,ちゅうしゃく
争う,to compete,Conflict,あらそ
差別,distinction,Distinction + Separate,さべつ
別れる,to part (usu. of people),Separate,わか
別に,(not) particularly,Separate,べつ
別荘,holiday house,Separate + Villa,べっそう
植える,to plant,Plant,う
植樹,tree-planting,Plant + Wood,しょくじゅ
階段,stairs,Floor + Steps,かいだん
段階,stage,Steps + Floor,だんかい
短い,short,Short,みじか
簡単,simple,Simplicity + Simple,かんたん
短期,short-term,Short + Period Of Time,たんき
短銃,pistol,Short + Gun,たんじゅう
短距離,short distance,Short + Distance + Detach,たんきょり
孤島,solitary island,Orphan + Island,ことう
広島,"Hiroshima (city, prefecture)",Wide + Island,ひろしま
徳島県,Tokushima Prefecture (Shikoku),Virtue + Island + Prefecture,とくしまけん
鹿児島県,Kagoshima Prefecture (Kyūshū),Deer + Child + Island + Prefecture,かごしまけん
温泉,hot spring,Warm + Spring,おんせん
暖かい,warm,Warm,あたた
温暖,warm,Warm + Warm,おんだん
温める,to warm (up),Warm,あたた
温床,hotbed,Warm + Floor,おんしょう
深い,deep,Deep,ふか
深刻,serious,Deep + Carve,しんこく
奥深い,profound,Interior + Deep,おくふか
議員,member of an assembly,Deliberation + Member,ぎいん
職員,staff member,Employment + Member,しょくいん
委員,committee member,Committee + Member,いいん
満員,full house,Full + Member,まんいん
駅員,(train) station attendant,Station + Member,えきいん
党員,party member,Group + Member,とういん
兵員,military strength,Soldier + Member,へいいん
邸宅,(large) house,Residence + House,ていたく
第一,first,Ordinal Number Prefix + One,だいいち
第一印象,first impression,Ordinal Number Prefix + One + Seal + Elephant,だいいちいんしょう
及第,passing (an examination),Reach + Ordinal Number Prefix,きゅうだい
貴族,nobility,Valuable + Tribe,きぞく
皇族,imperial family,Emperor + Tribe,こうぞく
動詞,verb,Move + Part Of Speech,どうし
動く,to move,Move,うご
感動,being deeply moved emotionally,Feeling + Move,かんどう
動かす,to move,Move,うご
移動,movement,Shift + Move,いどう
動き,movement,Move,うご
動揺,shaking,Move + Shake,どうよう
振動,oscillation,Shake + Move,しんどう
鼓動,beat,Beat + Move,こどう
商品,commodity,Merchandise + Product,しょうひん
垣根,hedge,Hedge + Root,かきね
根拠,basis,Root + Based On,こんきょ
禍根,root of an evil,Evil + Root,かこん
悲しい,sad,Sad,かな
悲しむ,to be sad,Sad,かな
悲劇,tragedy,Sad + Drama,ひげき
悲惨,disastrous,Sad + Disaster,ひさん
悲しみ,sadness,Sad,かな
慈悲,mercy,Mercy + Sad,じひ
悲哀,sorrow,Sad + Pathetic,ひあい
暑い,hot,Hot,あつ
蒸し暑い,humid,Steam + Hot,むあつ
酷暑,intense heat,Cruel + Hot,こくしょ
登録,registration,Climb + Record,とうろく
寒い,cold (e.g. weather),Cold,さむ
勲章,decoration,Merit + Chapter,くんしょう
紋章,crest,Family Crest + Chapter,もんしょう
児童,children,Child + Juvenile,じどう
童謡,children's song,Juvenile + Noh Chanting,どうよう
河童,kappa,River + Juvenile,かっぱ
悪魔,devil,Bad + Devil,あくま
悪い,bad,Bad,わる
悪戯,mischief,Bad + Play,いたずら
憎む,to hate,Hate,にく
憎い,hateful,Hate,にく
悪夢,nightmare,Bad + Dream,あくむ
嫌悪,disgust,Dislike + Bad,けんお
悪霊,evil spirit,Bad + Ghost,あくりょう
凶悪,atrocious,Villain + Bad,きょうあく
悪循環,vicious circle,Bad + Circulation + Loop,あくじゅんかん
善悪,right and wrong,Morally Good + Bad,ぜんあく
悪賢い,cunning,Bad + Clever,わるがしこ
悪影響,bad influence,Bad + Shadow + Echo,あくえいきょう
醜悪,ugly,Ugly + Bad,しゅうあく
都庁,Tokyo Metropolitan Government (Office),Metropolis + Agency,とちょう
流れる,to stream,Stream,なが
流す,to drain,Stream,なが
漂流,drifting,Drift + Stream,ひょうりゅう
潮流,tide,Tide + Stream,ちょうりゅう
流行語,buzzword,Stream + Go + Language,りゅうこうご
渓流,mountain stream,Valley + Stream,けいりゅう
本流,main course (of a river),Book + Stream,ほんりゅう
流浪,vagrancy,Stream + Wander,るろう
消費,consumption,Extinguish + Expense,しょうひ
消す,to erase,Extinguish,け
消える,to disappear,Extinguish,き
消しゴム,eraser,Extinguish,け
抹消,erasure,Erase + Extinguish,まっしょう
消化不良,indigestion,Extinguish + Change + Not + Good,しょうかふりょう
野菜,vegetable,Field + Vegetable,やさい
野球,baseball,Field + Sphere,やきゅう
野蛮,savage,Field + Barbarian,やばん
野暮,boorish,Field + Livelihood,
粗野,rustic,Coarse + Field,そや
野獣,wild beast,Field + Beast,やじゅう
野郎,guy,Field + Guy,やろう
香港,Hong Kong,Fragrance + Harbor,ホンコン
卓球,table tennis,Table + Sphere,たっきゅう
眼球,eyeball,Eyeball + Sphere,がんきゅう
球威,(pitcher's) stuff,Sphere + Majesty,きゅうい
祭り,festival,Festival,まつ
着く,to arrive at,Wear,つ
執着,attachment,Tenacious + Wear,しゅうちゃく
到着,arrival,Arrival + Wear,とうちゃく
着替え,changing clothes,Wear + Replace,きが
窒息,suffocation,Suffocate + Breath,ちっそく
憩う,to rest,Rest,いこ
銭湯,public bath,Coin + Hot Water,せんとう
旅館,ryokan,Trip + Public Building,りょかん
旅券,passport,Trip + Ticket,りょけん
延期,postponement,Prolong + Period Of Time,えんき
期限,term,Period Of Time + Limit,きげん
乾季,dry season,Dry + Seasons,かんき
刑期,prison term,Punish + Period Of Time,けいき
周期,cycle,Circumference + Period Of Time,しゅうき
駅長,station master,Station + Long,えきちょう
問題,question (e.g. on a test),Problem + Topic,もんだい
質問,question,Quality + Problem,しつもん
訪問,call,Visit + Problem,ほうもん
疑問,doubt,Doubt + Problem,ぎもん
拷問,torture,Torture + Problem,ごうもん
検問,inspection,Examine + Problem,けんもん
専門,speciality,Specialty + Gate,せんもん
尋問,questioning,Inquire + Problem,じんもん
顧問,adviser,Review + Problem,こもん
諮問,consultation,Consult + Problem,しもん
模様,pattern,Imitation + Formal Name Title,もよう
逆さま,inverted,Reverse,さか
皆様,everyone,All + Formal Name Title,みなさま
奥様,wife,Interior + Formal Name Title,おくさま
お疲れ様,thank you (for your hard work),Exhausted + Formal Name Title,つかさま
殿様,nobleman,Milord + Formal Name Title,とのさま
姫様,princess,Princess + Formal Name Title,ひめさま
貴様,you,Valuable + Formal Name Title,きさま
武士,samurai,Military + Samurai,ぶし
紳士,gentleman,Gentleman + Samurai,しんし
修士,master's (degree),Discipline + Samurai,しゅうし
兵士,soldier,Soldier + Samurai,へいし
弁護士,lawyer,Dialect + Defend + Samurai,べんごし
騎士,(medieval) knight,Horse + Samurai,きし
棋士,professional shogi player,Chess Piece + Samurai,きし
容疑,suspicion,Form + Doubt,ようぎ
嫌疑,suspicion,Dislike + Doubt,けんぎ
想像,imagination,Concept + Statue,そうぞう
感想,impressions,Feeling + Concept,かんそう
妄想,delusion,Reckless + Concept,もうそう
幻想,fantasy,Illusion + Concept,げんそう
熱い,hot (to the touch),Heat,あつ
情熱,passion,Feeling + Heat,じょうねつ
熱烈,ardent,Heat + Violent,ねつれつ
耐熱,heat-resisting,Resistant + Heat,たいねつ
感情,emotion,Feeling + Feeling,かんじょう
感覚,sense,Feeling + Memorize,かんかく
感染,infection,Feeling + Dye,かんせん
感じる,to feel,Feeling,かん
感謝,thanks,Feeling + Apologize,かんしゃ
感じ,feeling,Feeling,かん
敏感,sensitive,Alert + Feeling,びんかん
感触,feel (of something),Feeling + Touch,かんしょく
鈍感,thickheaded,Dull + Feeling,どんかん
劣等感,inferiority complex,Inferiority + Equal + Feeling,れっとうかん
感銘,deep impression,Feeling + Inscription,かんめい
責任感,sense of responsibility,Blame + Duty + Feeling,せきにんかん
快感,pleasant feeling,Pleasant + Feeling,かいかん
霊感,inspiration,Ghost + Feeling,れいかん
感嘆符,exclamation point,Feeling + Sigh + Token,かんたんふ
感慨,deep emotion,Feeling + Sigh,かんがい
情報,information,Feeling + News,じょうほう
状況,state of affairs,Condition + Condition,じょうきょう
状態,state,Condition + Appearance,じょうたい
愛情,love,Love + Feeling,あいじょう
情け,pity,Feeling,なさ
陳情,petition,Exhibit + Feeling,ちんじょう
怠惰,lazy,Lazy + Lazy,たいだ
情けない,miserable,Feeling,なさ
薄情,unfeeling,Dilute + Feeling,はくじょう
叙情,lyricism,Describe + Feeling,じょじょう
整然,orderly,Arrange + Nature,せいぜん
均整,symmetry,Equal + Arrange,きんせい
養う,to support,Foster,やしな
滋養,nourishment,Nourishing + Foster,じよう
培養,culture,Cultivate + Foster,ばいよう
養鶏,poultry raising,Foster + Chicken,ようけい
訓練,training,Instruction + Practice,くんれん
洗練,refinement,Wash + Practice,せんれん
鍛錬,tempering (metal),Forge + Tempering,たんれん
幸福,happiness,Happiness + Luck,こうふく
福祉,welfare,Luck + Welfare,ふくし
裕福,wealthy,Abundant + Luck,ゆうふく
福寿,long life and happiness,Luck + Lifespan,ふくじゅ
福袋,lucky-dip bag,Luck + Sack,ふくぶくろ
暗い,dark,Dark,くら
暮れる,to get dark,Livelihood,く
暗殺,assassination,Dark + Kill,あんさつ
無闇に,thoughtlessly,Nothing + Darkness,
暗礁,reef,Dark + Reef,あんしょう
暗闇,darkness,Dark + Darkness,くらやみ
謝る,to apologize,Apologize,あやま
慰謝,consolation,Consolation + Apologize,いしゃ
新陳代謝,renewal,New + Exhibit + Substitute + Apologize,しんちんたいしゃ
慰謝料,consolation money,Consolation + Apologize + Fee,いしゃりょう
桟橋,wharf,Jetty + Bridge,さんばし
輪郭,contour,Wheel + Enclosure,りんかく
輪ゴム,rubber band,Wheel,わ
機械,machine,Machine + Contraption,きかい
武器,weapon,Military + Container,ぶき
兵器,arms,Soldier + Container,へいき
陶器,pottery,Pottery + Container,とうき
核兵器,nuclear weapon,Nucleus + Soldier + Container,かくへいき
掃除機,vacuum cleaner,Sweep + Exclude + Machine,そうじき
炊飯器,rice cooker,Cook + Meal + Container,すいはんき
凶器,dangerous weapon,Villain + Container,きょうき
加湿器,humidifier,Add + Damp + Container,かしつき
循環器,circulatory organ,Circulation + Loop + Container,じゅんかんき
弦楽器,string instrument,Chord + Comfort + Container,げんがっき
泌尿器,urinary organs,Secrete + Urine + Container,ひにょうき
漆器,lacquer ware,Lacquer + Container,しっき
皆さん,all,All,みな
映像,image (on a screen),Reflect + Statue,えいぞう
映る,to be reflected,Reflect,うつ
映す,to project,Reflect,うつ
銀座,Ginza (district in Tokyo),Silver + Sit,ぎんざ
水銀,mercury (Hg),Water + Silver,すいぎん
仏像,statue of Buddha,Buddha + Statue,ぶつぞう
銅像,bronze statue,Copper + Statue,どうぞう
肖像,portrait,Resemblance + Statue,しょうぞう
請願,petition,Request + Request,せいがん
願望,desire,Request + Hope,がんぼう
念願,one's heart's desire,Thought + Request,ねんがん
お願い,request,Request,ねが
祈願,prayer (for something),Pray + Request,きがん
宿題,homework,Lodge + Topic,しゅくだい
宿泊,accommodation,Lodge + Overnight,しゅくはく
褒める,to praise,Praise,ほ
表彰,(official) commendation,Express + Patent,ひょうしょう
褒賞,prize,Praise + Prize,ほうしょう
入館料,"admission fee (for a museum, etc.)",Enter + Public Building + Fee,にゅうかんりょう
副題,subtitle,Vice + Topic,ふくだい
無料,free (of charge),Nothing + Fee,むりょう
資料,material,Resources + Fee,しりょう
燃料,fuel,Burn + Fee,ねんりょう
香辛料,spice,Fragrance + Spicy + Fee,こうしんりょう
給料,salary,Salary + Fee,きゅうりょう
材料,materials,Lumber + Fee,ざいりょう
肥料,manure,Obese + Fee,ひりょう
殺す,to kill,Kill,ころ
殺菌,sterilization,Kill + Bacteria,さっきん
虐殺,slaughter,Oppress + Kill,ぎゃくさつ
抹殺,erasure,Erase + Kill,まっさつ
絞殺,strangling (to death),Strangle + Kill,こうさつ
併殺,double play,Join + Kill,へいさつ
銃殺,death by shooting,Gun + Kill,じゅうさつ
黙殺,ignoring,Shut Up + Kill,もくさつ
選ぶ,to choose,Choose,えら
選挙,election,Choose + Raise,せんきょ
選択,choice,Choose + Select,せんたく
抽選,lottery,Pluck + Choose,ちゅうせん
偶然,coincidence,Accidentally + Nature,ぐうぜん
突然,abrupt,Stab + Nature,とつぜん
依然,still,Reliant + Nature,いぜん
敢然,boldly,Daring + Nature,かんぜん
漠然,vague,Desert + Nature,ばくぜん
超自然的,supernatural,Ultra + Self + Nature + Target,ちょうしぜんてき
メガネ,glasses,,
双眼鏡,binoculars,Pair + Eyeball + Mirror,そうがんきょう
残念,regrettable,Remainder + Thought,ざんねん
観念,idea,View + Thought,かんねん
概念,general idea,Approximation + Thought,がいねん
丹念,painstaking,Rust Colored + Thought,たんねん
技術,technology,Skill + Art,ぎじゅつ
演技,acting,Perform + Skill,えんぎ
技能,technical skill,Skill + Ability,ぎのう
完結,conclusion,Perfect + Bind,かんけつ
素敵,lovely,Element + Enemy,
比較的,comparatively,Compare + Contrast + Target,ひかくてき
経済的,economic,Passage Of Time + Come To An End + Target,けいざいてき
効果的,effective,Effective + Fruit + Target,こうかてき
典型的,typical,Rule + Model + Target,てんけいてき
劇的,dramatic,Drama + Target,げきてき
創造的,creative,Create + Create + Target,そうぞうてき
普遍的,universal,Normal + Universal + Target,ふへんてき
囲む,to surround,Surround,かこ
周囲,surroundings,Circumference + Surround,しゅうい
範囲,extent,Example + Surround,はんい
包囲,siege,Wrap + Surround,ほうい
囲碁,go (board game),Surround + Go,いご
密か,secret,Secrecy,ひそ
私邸,private residence,I + Residence,してい
私大,private university,I + Big,しだい
私営,privately operated,I + Manage,しえい
私財,private funds,I + Wealth,しざい
芸術,art,Acting + Art,げいじゅつ
陶芸,ceramic art,Pottery + Acting,とうげい
演芸,entertainment,Perform + Acting,えんげい
芸者,geisha,Acting + Someone,げいしゃ
残る,to remain,Remainder,のこ
残す,to leave (behind),Remainder,のこ
残り,remainder,Remainder,のこ
残酷,cruel,Remainder + Cruel,ざんこく
残虐,cruel,Remainder + Oppress,ざんぎゃく
残額,remaining amount,Remainder + Amount,ざんがく
残余,remainder,Remainder + Surplus,ざんよ
基礎,foundation,Foundation + Foundation,きそ
基準,standard,Foundation + Standard,きじゅん
基盤,base,Foundation + Tray,きばん
性格,character (of a person),Gender + Status,せいかく
異性,the opposite sex,Differ + Gender,いせい
可能性,potentiality,Possible + Ability + Gender,かのうせい
慢性,chronic (illness),Ridicule + Gender,まんせい
惰性,force of habit,Lazy + Gender,だせい
魔術,magic,Devil + Art,まじゅつ
妥協,compromise,Gentle + Cooperation,だきょう
参る,to go,Participate,まい
参加,participation,Participate + Add,さんか
降参,surrender,Descend + Participate,こうさん
希望,hope,Wish + Hope,きぼう
望む,to desire,Hope,のぞ
望み,wish,Hope,のぞ
絶望,despair,Extinction + Hope,ぜつぼう
志望,wish,Intention + Hope,しぼう
眺望,view,Stare + Hope,ちょうぼう
素材,ingredient,Element + Lumber,そざい
鋼材,steel material,Steel + Lumber,こうざい
約束,promise,Promise + Bundle,やくそく
束縛,restraint,Bundle + Bind,そくばく
例えば,for example,Example,たと
比例,proportion,Compare + Example,ひれい
恒例,established practice,Constant + Example,こうれい
価格,price,Value + Status,かかく
資格,qualifications,Resources + Status,しかく
骨格,skeleton,Bone + Status,こっかく
紳士協定,gentlemen's agreement,Gentleman + Samurai + Cooperation + Determine,しんしきょうてい
季節,season,Seasons + Season,きせつ
硬い,hard,Stiff,かた
固まる,to harden,Hard,かた
頑固,stubborn,Stubborn + Hard,がんこ
固める,to harden,Hard,かた
凝固,coagulation,Congeal + Hard,ぎょうこ
固有名詞,proper noun,Hard + Have + Name + Part Of Speech,こゆうめいし
請求,claim,Request + Request,せいきゅう
求める,to want,Request,もと
欲求,desire,Want + Request,よっきゅう
求職,job hunting,Request + Employment,きゅうしょく
求婚,marriage proposal,Request + Marriage,きゅうこん
契約,contract,Pledge + Promise,けいやく
条約,treaty,Clause + Promise,じょうやく
倹約,thrift,Thrifty + Promise,けんやく
誓約,oath,Vow + Promise,せいやく
盟約,oath,Alliance + Promise,めいやく
可能,possible,Possible + Ability,かのう
骨折,bone fracture,Bone + Fold,こっせつ
露骨,open,Expose + Bone,ろこつ
拳骨,(clenched) fist,Fist + Bone,げんこつ
頑張る,to persevere,Stubborn + Stretch,
頑張れ,hang in there,Stubborn + Stretch,がんば
折る,to break,Fold,お
折れる,to break,Fold,お
解析,analysis,Untie + Analysis,かいせき
儀式,ceremony,Ceremony + Ritual,ぎしき
株式,share (in a company),Stocks + Ritual,かぶしき
葬式,funeral,Burial + Ritual,そうしき
結婚式,marriage ceremony,Bind + Marriage + Ritual,けっこんしき
法律,law,Method + Law,ほうりつ
憲法,constitution,Constitution + Method,けんぽう
寸法,measurement,Measurement + Method,すんぽう
法廷,court (of law),Method + Courts,ほうてい
魔法,magic,Devil + Method,まほう
法規,laws and regulations,Method + Standard,ほうき
遅い,slow,Slow,おそ
晩御飯,dinner,Night + Honorable + Meal,ばんごはん
晩酌,drink at home with one's evening meal,Night + Serve,ばんしゃく
地区,district,Earth + District,ちく
区域,area,District + Region,くいき
昼寝,(afternoon) nap,Noon + Lie Down,ひるね
昼ご飯,lunch,Noon + Meal,ひるはん
帰る,to return,Return,かえ
帰郷,homecoming,Return + Hometown,ききょう
溶岩,lava,Melt + Boulder,ようがん
岩礁,reef,Boulder + Reef,がんしょう
計る,to measure,Measure,はか
余計,extra,Surplus + Measure,よけい
累計,cumulative total,Accumulate + Measure,るいけい
単に,simply,Simple,たん
単純,simple,Simple + Pure,たんじゅん
寿司,sushi,Lifespan + Director,
回転寿司,conveyor belt sushi,Times + Revolve + Lifespan + Director,かいてんずし
建築,construction,Build + Construct,けんちく
丈夫,healthy,Height + Husband,じょうぶ
夫妻,husband and wife,Husband + Wife,ふさい
一夫多妻,polygamy,One + Husband + Many + Wife,いっぷたさい
春巻き,spring roll,Spring + Scroll,はるま
建設,construction,Build + Establish,けんせつ
再建,rebuilding,Again + Build,さいけん
建てる,to build,Build,た
建つ,to be erected,Build,た
浅い,shallow,Shallow,あさ
勇敢,brave,Courage + Daring,ゆうかん
勇む,to be in high spirits,Courage,いさ
規律,order,Standard + Law,きりつ
並ぶ,to line up,Line Up,なら
陳列,exhibition,Exhibit + Row,ちんれつ
羅列,enumeration,Spread Out + Row,られつ
並列,arranging in a line,Line Up + Row,へいれつ
ご飯,cooked rice,Meal,はん
背丈,stature,Back + Height,せたけ
晴れ,clear weather,Clear Up,は
晴れる,to clear up,Clear Up,は
軍隊,armed forces,Army + Squad,ぐんたい
軍艦,warship,Army + Warship,ぐんかん
将軍,general,Commander + Army,しょうぐん
陸軍,army,Land + Army,りくぐん
猫舌,dislike of very hot food or drink,Cat + Tongue,ねこじた
招き猫,beckoning cat,Beckon + Cat,まねねこ
泣く,to cry,Cry,な
英雄,hero,England + Male,えいゆう
英訳,English translation,England + Translation,えいやく
変わる,to change,Change,か
変える,to change,Change,か
変更,change,Change + Again,へんこう
変遷,change,Change + Transition,へんせん
変装,disguise,Change + Attire,へんそう
変換,change,Change + Exchange,へんかん
変態,transformation,Change + Appearance,へんたい
事変,accident,Action + Change,じへん
変死,unnatural death,Change + Death,へんし
信頼,trust (in),Believe + Trust,しんらい
信仰,(religious) faith,Believe + Look Up To,しんこう
迷信,superstition,Astray + Believe,めいしん
信じる,to believe,Believe,しん
信奉,belief,Believe + Dedicate,しんぽう
仏壇,Buddhist (household) altar,Buddha + Podium,ぶつだん
仏典,Buddhist scriptures,Buddha + Rule,ぶってん
存在,existence,Suppose + Exist,そんざい
保存,preservation,Preserve + Suppose,ほぞん
存じる,to know,Suppose,ぞん
依存,dependence,Reliant + Suppose,いぞん
既存,existing,Previously + Suppose,きそん
辞書,dictionary,Quit + Write,じしょ
辞める,to resign,Quit,や
辞職,resignation,Quit + Employment,じしょく
世辞,flattery,World + Quit,せじ
弔辞,message of condolence,Condolence + Quit,ちょうじ
喜ぶ,to be delighted,Rejoice,よろこ
喜劇,comedy,Rejoice + Drama,きげき
喜び,joy,Rejoice,よろこ
喜寿,77th birthday,Rejoice + Lifespan,きじゅ
危険,danger,Dangerous + Risky,きけん
冒険,adventure,Dare + Risky,ぼうけん
保険,insurance,Preserve + Risky,ほけん
真剣,serious,Reality + Sword,しんけん
専攻,major subject,Specialty + Aggression,せんこう
取る,to take,Take,と
取り戻す,to take back,Take + Return,ともど
取り扱う,to handle,Take + Handle,とあつか
摂取,intake (e.g. of salt),In Addition + Take,せっしゅ
搾取,exploitation,Squeeze + Take,さくしゅ
刈り取る,to mow,Prune + Take,かと
守る,to protect,Protect,まも
保守的,conservative,Preserve + Protect + Target,ほしゅてき
お守り,charm,Protect,まも
保守主義,conservatism,Preserve + Protect + Master + Righteousness,ほしゅしゅぎ
保証,guarantee,Preserve + Evidence,ほしょう
証拠,evidence,Evidence + Based On,しょうこ
内緒話,secret talk,Inside + Together + Talk,ないしょばなし
浴びる,to dash over oneself (e.g. water),Bathe,あ
浴衣,yukata,Bathe + Clothes,ゆかた
浴槽,bathtub,Bathe + Tank,よくそう
保護,protection,Preserve + Defend,ほご
保つ,to keep,Preserve,たも
生保,life insurance,Life + Preserve,せいほ
危ない,dangerous,Dangerous,あぶ
危機,crisis,Dangerous + Machine,きき
危篤,critical condition,Dangerous + Deliberate,きとく
政治,politics,Politics + Cure,せいじ
政府,government,Politics + Government,せいふ
政党,political party,Politics + Group,せいとう
政策,political measures,Politics + Plan,せいさく
憲政,constitutional government,Constitution + Politics,けんせい
担う,to carry on one's shoulder,Carry,にな
面接,interview (e.g. for a job),Face + Adjoin,めんせつ
面積,area (measurement),Face + Accumulate,めんせき
斜面,slope,Diagonal + Face,しゃめん
面倒,trouble,Face + Overthrow,
覆面,mask,Capsize + Face,ふくめん
製品,manufactured goods,Manufacture + Product,せいひん
品詞,part of speech,Product + Part Of Speech,ひんし
上品,elegant,Above + Product,じょうひん
盗品,stolen goods,Steal + Product,とうひん
逸品,excellent article,Deviate + Product,いっぴん
急ぐ,to hurry,Hurry,いそ
急に,swiftly,Hurry,きゅう
緊急,urgency,Tense + Hurry,きんきゅう
急騰,sudden rise (in price),Hurry + Inflation,きゅうとう
急増,rapid increase,Hurry + Increase,きゅうぞう
急患,emergency case,Hurry + Afflicted,きゅうかん
