Kanji,Meaning,Radicals,Sound
乙,"Latter, B",Nose,おつ
款,Article,Samurai + Jackhammer + Lack,かん
賊,Robber,Shellfish + Drunkard + Cross,ぞく
烏,Crow,Bird,からす
菅,Sedge,Flowers + Roof + Bear,すげ
絹,Silk,Thread + Mouth + Moon,きぬ
酌,Serve,Alcohol + Pool,しゃく
迭,Alternate,Treadmill + Fault *,てつ
嘱,"Request, Entrust",Mouth + Flag + Mantis,しょく
錠,Lock,Gold + Roof + Coat Rack,じょう
鶏,Chicken,Cleat + Husband + Bird,とり
媒,Mediator,Woman + Sweet + Tree,ばい
享,Receive,Sock,きょう
濁,"Muddy, Impure",Tsunami + Net + Prison + Insect,にご
憤,Resent,Soul + Cross + Flowers + Shellfish,ふん
戯,Play,Tiger + Spikes + Drunkard,ぎ
漣,Ripples,Tsunami + Treadmill + Car,れん
奔,"Run, Bustle",Big + Cross + Twenty,ほん
慨,Sigh,Soul + Root + Fang,がい
陪,Accompany,Building + Clown,ばい
藩,Fiefdom,Flowers + Tsunami + Number *,はん
殻,"Husk, Shell",Samurai + Forehead + Table + Weapon,から
朽,"Rot, Decay",Tree + Ground + Prison,きゅう
肖,Resemblance,Triceratops + Moon,しょう
淑,Graceful,Tsunami + Above + Small + Stool *,しと
忌,Mourning,Oneself + Heart,い
窃,Steal,Hole + Seven + Sword,せっ
暁,Dawn,Sun + Gambler,あかつき
赦,Pardon,Red + Winter,しゃ
硫,Sulfur,Stone + Boob + River,りゅう
椎,Oak,Tree + Turkey,しい
璃,Glassy,King + Rocket,り
剖,Divide,Clown + Knife,ぼう
扶,Aid,Fingers + Husband,ふ
瑞,Congratulations,King + Mountain + Rake,みず
帆,Sail,Towel + Table + Drop,ほ
傑,"Greatness, Excellence",Leader + Dance + Tree,けっ
譜,"Genealogy, Score",Say + Line Up + Sun *,ふ
凌,Endure,Ice + Frostbite,しの
姻,"Marry, Matrimony",Woman + Mouth + Big,こん
憧,"Long For, Yearn",Soul + Stand + Village,あこが
甚,"Very, Great",Crab Trap,はなは
鋳,"Cast, Casting",Gold + Slide + Three + Measurement,ちゅう
汰,Select,Tsunami + Fat *,た
慶,Congratulate,Mullet + Helicopter + Barb + Heart + Winter,よろこ
蔑,"Scorn, Neglect",Flowers + Net + Slide + Drunkard + Drop,べつ
胆,Guts,Moon + Dawn,たん
閑,Leisure,Gate + Tree,かん
睦,Friendly,Eye + Womb,ぼく
擬,Imitate,Fingers + Doubt *,ぎ
叔,Uncle. Aunt,Above + Small + Stool *,おじ
屯,Barracks,Barracks,とん
礁,Reef,Stone + Turkey + Boil,しょう
亜,Asia,Tie Fighter,あ
沙,Sand,Tsunami + Few *,さ
酪,Dairy,Alcohol + Kiss,らく
曹,Official,Ground + Music + Sun *,そう
漆,"Lacquer, Varnish",Tsunami + Tree + Hat + Water,しっ
梓,Wood Block,Tree + Spicy,あずさ
岬,Cape,Mountain + Turtle Shell,みさき
吟,Recital,Mouth + Now,ぎん
遷,Transition,Treadmill + Helicopter + Big + Oneself,せん
侮,Despise,Leader + Every *,ぶ
堪,Endure,Dirt + Crab Trap,たま
雌,Female,Stop + Spoon + Turkey,めす
崇,"Worship, Revere",Mountain + Roof + Jackhammer,すう
峠,Ridge,Mountain + Above + Below *,とうげ
禍,"Evil, Misfortune",Spirit + Mustachex2,か
卑,"Lowly, Base",Drop + Rice Paddy + Cross,ひ
拙,Clumsy,Fingers + Exit,せっ
紡,Spinning,Thread + Direction,ぼう
詠,"Compose, Recite",Say + Water + Drop,うた
篤,Deliberate,Bamboo + Horse,とく
浪,Wander,Tsunami + Good *,ろう
唄,Shamisen Song,Mouth + Shellfish,うた
某,Certain,Sweet + Tree,ぼう
囚,Criminal,Mouth + Person,しゅう
廉,Bargain,Mullet + Mona Lisa,れん
桟,Jetty,Tree + Bar,さん
寡,Widow,Roof + Geoduck + Ground + Sword,か
渓,Valley,Tsunami + Cleat + Husband,けい
煩,Annoy,Fire + Geoduck,うるさ
醜,Ugly,Alcohol + Demon,みにく
逝,Die,Treadmill + Fingers + Axe,せい
倹,Thrifty. Frugal,Leader + Squid,けん
漸,Gradually,Tsunami + Car + Axe,ようや
痢,Diarrhea,Sick + Grain + Knife,り
匿,Hide,Cage + Flowers + Right *,とく
狐,Fox,Animal + Melon,きつね
湧,Well,Tsunami + Courage *,わ
殉,Martyr,Yakuza + Prison + Sun,じゅん
慕,"Yearn For, Adore",Greenhouse + Small + Drop,した
拷,Torture,Fingers + Coffin + Beggar,ごう
蛮,Barbarian,Red + Insect,ばん
坑,Pit,Dirt + Lid + Table,こう
升,"Grid, Measure",Slide + Twenty,ます
妄,Reckless,Death + Woman,もう
泌,Secrete,Tsunami + Certain *,ぴつ
婿,Groom,Woman + Coat Rack + Moon,むこ
藻,Seaweed,Flowers + Tsunami + Syrup,も
謹,Humble,Say + Boot,きん
畔,Shore,Rice Paddy + Half *,はん
藍,Indigo,Flowers + Oversee *,ぼろ
矯,Correct,Arrow + Heaven + Mouth + Mustache,きょう
劾,Censure,Slice + Power,がい
罷,Quit,Net + Ability *,ひ
