Kanji,Meaning,Radicals,Sound
暑,"Hot, Hot Weather",Sun + Someone *,あつ
勉,Exertion,Excuse + Power,べん
登,Climb,Tent + Beans,とう
寒,Cold,Roof + Train + Two,さむ
章,Chapter,Stand + Early *,しょう
童,Juvenile,Stand + Village,どう
悪,Bad,Tie Fighter + Heart,あく
都,Metropolis,Someone + Building *,と
流,Stream,Tsunami + Boob + River,りゅう
消,Extinguish,Tsunami + Triceratops + Moon,しょう
歯,Tooth,Stop + Box + Rice,は
野,Field,Village + Beforehand *,や
港,Harbor,Tsunami + Blackjack + Fins + Oneself,こう
球,"Sphere, Ball",King + Lid + Water,きゅう
祭,Festival,Tent + Jackhammer,まつ
着,Wear,Horns + King + Slide + Eye,ちゃく
息,Breath,Self + Heart,そく
倍,"Double, Times, Multiply",Leader + Clown,ばい
湯,Hot Water,Tsunami + Easy,ゆ
旅,"Trip, Travel",Direction + Gun + Tofu,りょ
陽,"Sunshine, Sunlight",Building + Easy,よう
期,"Period Of Time, Time Period",Crab + Moon,き
駅,"Station, Train Station",Horse + Shrimp,えき
問,Problem,Gate + Mouth,もん
様,Formal Name Title,Tree + Sheep + Water,さま
士,Samurai,Samurai,し
疑,Doubt,Spoon + Arrow + Mama + Coat Rack,ぎ
想,Concept,Tree + Eye + Heart,そう
熱,Heat,Womb + Circle + Boil *,ねっ
感,Feeling,Drunkard + Creeper + Heart,かん
情,"Feeling, Emotion",Soul + Blue,じょう
整,"Arrange, Organize",Bundle + Winter + Correct *,せい
億,Hundred Million,Leader + Idea **,おく
養,Foster,Sheep + Fins + Good *,よう
標,Signpost,Tree + Helicopter + Jackhammer,ひょう
練,Practice,Thread + East *,れん
福,Luck,Spirit + Scarecrow,ふく
暗,Dark,Sun + Stand + Sun,あん
謝,Apologize,Say + Body + Measurement *,しゃ
橋,Bridge,Tree + Heaven + Mouth + Mustache,はし
輪,"Wheel, Ring, Loop",Car + Hat + Ground + Bookshelf,わ
詩,Poem,Say + Temple,し
器,"Container, Vessel",Products + Big + Products,き
皆,"All, Everyone, Everything",Compare + White,みな
映,Reflect,Sun + Center *,えい
銀,Silver,Gold + Root,ぎん
像,"Statue, Image",Leader + elephant,ぞう
願,Request,original + Geoduck,がん
宿,Lodge,Roof + Leader + Hundred *,しゅく
賞,Prize,Viking + Mouth + Shellfish,しょう
館,Public Building,Eat + Roof + Bear,かん
題,Topic,Sun + Coat Rack + Geoduck,だい
料,"Fee, Material",Rice + ladle,りょう
殺,Kill,Treasure + Tree + Weapon,さつ
選,Choose,Treadmill + Oneselfx2 + Blackjack + Fins,せん
課,Section,Say + Fruit,か
然,Nature,Moon + Dog + Boil,ぜん
鏡,Mirror,Gold + Stand + See,がね
緑,Green,Thread + Wolverine + Water,みどり
念,Thought,Now + Heart,ねん
技,Skill,Fingers + Branch,ぎ
完,Perfect,Roof + Origin,かん
的,"Target, ~al, ~like",White + Pool,てき
囲,Surround,Mouth + Well,い
私,"I, Private",Grain + Private,し
芸,"Acting, Art",Flowers + Cloud,げい
残,Remainder,Yakuza + Bar,ざん
卒,Graduate,Lid + Personx2 + Cross,そつ
基,Foundation,Crab + Dirt,き
性,"Gender, Nature",Soul + Life,せい
術,Art,Go + Angel + Drop,じゅつ
妥,Gentle,Cleat + Woman,だ
参,Participate,Private + Big + Hair,さん
望,Hope,Death + Moon + King,ぼう
材,Lumber,Tree,ざい
束,Bundle,Bundle,そく
雰,Atmosphere,Rain + Part *,ふん
例,Example,Leader + Yakuza + Knife,たと
希,Wish,Treasure + Narwhal + Towel,き
格,Status,Tree + Kiss,かく
協,Cooperation,Cross + Powerx3,きょう
季,Seasons,Grain + Child,き
固,Hard,Mouth + Old,こ
求,Request,Ground + Drop + Water,きゅう
周,Circumference,Circumference,しゅう
約,Promise,Thread + Pool,やく
能,Ability,Private + Moon + Spoonx2,のう
骨,Bone,Mustache + Forehead + Moon,こっ
頑,Stubborn,Origin + Geoduck,がん
折,Fold. Bend,Fingers + Axe,せつ
松,Pine,Tree + Public *,まつ
坂,Slope,Dirt + Anti *,さか
式,Ritual,Ceremony + Construction,しき
法,"Method, Law",Tsunami + past *,ほう
毒,Poison,King + Window,どく
晩,Night,Sun + Excuse,ばん
区,"District, Ward",Cage + Treasure,く
昼,Noon,Shrimp + Sun + Ground,ひる
帰,"Return, Return Home",Knife + Wolverine + Forehead + Towel,かえ
岩,Boulder,Mountain + Stone,がん
秋,"Autumn, Full",Grain + Fire,あき
計,Measure,Say + Cross,けい
単,Simple,Simple,たん
司,Director,Cape + Creeper,し
昨,"Previous, Yesterday",Sun + Key,さく
築,"Construct, Build",Bamboo + Saw + Tree,ちく
夫,Husband,Husband,ぶ
春,Spring,Train + Sun,はる
建,Build,Yoga + Brush,けん
浅,Shallow,Tsunami + Bar,あさ
勇,"Courage, Bravery, Valor",Mama + Man *,ゆう
紀,"Account, Narrative",Thread + Oneself,き
列,Row,Yakuza + Knife,れつ
飯,"Meal, Food",Eat + Anti *,はん
寺,Temple,Temple,じ
丈,Height,Height,じょう
晴,Clear Up,Sun + Blue,せい
軍,Army,Forehead + Car,ぐん
猫,Cat,Animal + Flowers + Rice Paddy,ねこ
泣,Cry,Tsunami + Stand,な
英,England,Flowers + Center *,えい
変,"Change, Strange",Red + Winter,へん
信,"Believe, Trust",Leader + Say,しん
仏,Buddha,Leader + Private,ぶつ
存,Suppose,Narwhal + Stick + Child,そん
辞,Quit,Tongue + Spicy,じ
喜,"Rejoice, Delighted, Pleased, Happy",Drum + Mouth,よろこ
険,"Risky, Steep",Building + Squid,けん
専,Specialty,Cross + Rice Paddy + Measurement,せん
留,Detain,Private + Sword + Rice Paddy,りゅう
阪,"Heights, Slope",Building + Anti *,はん
曜,"Weekday, Day of the Week",Sun + Wolverine + Turkey,よう
取,Take,Ear + Stool,と
守,Protect,Roof + Measurement,しゅ
証,"Evidence, Proof",Say + Correct *,しょう
門,"Gate, Gates",Gate,もん
浴,Bathe,Tsunami + Valley *,よく
保,"Preserve, Guarantee",Leader + Mouth + Tree,ほ
危,Dangerous,Prison + Cliff + Snake,き
箱,Box,Bamboo + Tree + Eye,はこ
政,"Politics, Government",Correct + Winter,せい
荷,Luggage,Flowers + Leader + Lip Ring,に
面,"Face, Surface",Face,めん
冒,Dare,Sun + Eye,ぼう
品,"Product, Article, Goods",Products,ひん
急,Hurry,Prison + Wolverine + Heart,きゅう
関,"Related, Connected",Gate + Horns + Heaven,かん
真,Reality,Pope + Ground + Fins,しん
弁,"Dialect, Speech",Private + Twenty,べん
治,"Cure, Heal, Reign, Rule",Tsunami + Machine *,じ
冗,"Superfluous, Unnecessary, Uselessness",Forehead + Table,じょう
典,Rule,Music + Fins *,てん
園,"Garden, Park",Mouth + Zombie,えん
係,Connection,Leader + Lineage,けい
遠,Far,Treadmill + Zombie,えん
書,"Write, Writing",Brush + Sun,しょ
府,Government,Mullet + Attach *,ふ
笑,Laugh,Bamboo + Heaven,わら
幸,Happiness,Lid + Spicy,こう
側,Side,Leader + Shellfish + Knife,そく
説,Theory,Say + Guard,せつ
原,"Original, Fundamental, Plain, Field",original,げん
底,Bottom,Mullet + Clan + Ground,てい
無,Nothing,Nothing,む
堂,"Hall, Public Chamber",Viking + Mouth + Dirt,どう
官,Government,Roof + Bear,かん
常,"Normal, Ordinary",Viking + Mouth + Towel,じょう
梅,"Ume, Japanese Plum",Tree + Gun + Window,じょう
識,"Discerning, Discriminating, Know",Say + Sound + Drunkard *,つゆ
塩,Salt,Dirt + Gun + Mouth + Plate,しお
非,"Injustice, Negative, Mistake",Criminal,ひ
栄,"Prosperity, Flourish",Viking + Tree,えい
果,Fruit,Fruit,か
兵,Soldier,Axe + Ground + Fins,へい
警,"Warn, Admonish",Poem + Winter + Say,けい
敗,Failure,Shellfish + Winter,ぱい
恋,Romance,Red + Heart,こい
覚,"Memorize, Awake",Viking + See,かく
結,"Bind, Tie",Thread + Good Luck,けっ
席,Seat,Hick + Towel,せき
幻,Illusion,Trash + Cape,げん
